Name,CategoryName,Contact Number,City,Address,Website
Qamar Bilal Hospital,Medical Center,+92 68 5572394,Khanpur,"JMX4+FVM, Kachehri Rd, Khanpur, 64100, ",N/A
Wadoor HOSPITAL,Hospital,N/A,Wadoor,"3GGW+XHQ, Wadoor, ",N/A
Civil Hospital,Hospital,N/A,Sui,"J5J9+WCF, Wadera Shaalo Colony Sui, ",N/A
Government Rural Dispensary Chah Yadgar Wala Seet Pur,Government hospital,+92 333 6679350,Seetpur,"7RFX+79J, Seetpur, ",N/A
Civil Hospital,Hospital,N/A,Lalgarh,"G527+JW8, Lalgarh, ",N/A
Govt Hospital Chak No 7/p,Government hospital,+92 308 2888404,Chak 7/P,"HMRV+9P3, Chak 7/P, ",N/A
Al Qureesh Hospital,Hospital,N/A,Jatoi,"GR4W+6G3, Jatoi, ",N/A
Hospital Umarkot,Hospital,N/A,Umarkot Rajanpur,"R4GW+26F, Umarkot Rajanpur, ",N/A
MEDICAL EMERGENCY DHQ HOSPITAL DGK,Hospital,N/A,Dera Ghazi Khan,"18 Jampur Rd, near Askari Bank, Fareed Abad Dera Ghazi Khan, 32200, ",N/A
Kareem Surgicare Complex Jampur,Hospital,N/A,Jampur,"Dera Road, near Boys College, Jampur, ",N/A
Ayub Hospital,Hospital,+92 604 688929,Rajanpur District,"483G+PPQ, Rajanpur District, ",N/A
Govt. Hospital Dera Faridi,Hospital,N/A,Thul Hamza,"3QVP+7XG Dera Faridi, Dera Fareedi, Thul Hamza, ",N/A
Asghar medical complex,Medical Center,+92 347 8052365,Khanpur,"MM2Q+842, Shahi Rd, Khanpur, ",N/A
BHU Rasool Bux,Government hospital,N/A,Pir Koh,"535P+XX, Pir Koh, ",N/A
Hospital Parking,Hospital,N/A,N/A,"Pir Baba Rd, ",N/A
Izhan Hospital Oghi,Hospital,+92 310 5770345,Oghi City,"opposite City Hospital Oghi, Jalalabad, Oghi City, ",N/A
Govt. Hospital Tanda Ghameer,Hospital,+92 313 2735545,Hajira,"QWQW+52F, Abbaspur Rd, Hajira",N/A
Jamaal Abaad Hospital Harichand,Government hospital,N/A,N/A,"9R92+G4J, Unnamed Road, ",N/A
Durrani Hospital,Hospital,+92 995 610900,Harīpur,"Mohala Afzal Colony, Central, Jail Rd, Darvesh, Harīpur, ",N/A
ZEB HOSPITAL,Hospital,+92 300 6800580,Bahawalpur,"9PW7+VV6, Rafi Qamar Road, Satellite Town, Bahawalpur, 63100, ",N/A
Zaib Hospital Kehror Pacca,Hospital,+92 300 6800041,Kahror Pakka,"JWV8+GH3, Mailsi Chowk Dunyia Pur Road Pull Canal Street Zaib Hospital, Kahror Pakka, ",N/A
Pracha hospital,Hospital,N/A,Multan,"5FFX+5MG, Khawaja Farid Social Security Hospital,, Vehari Rd, Peoples Colony, Multan, ",N/A
Suleman Hospital,Hospital,+92 333 6406801,Alipur,"9WJ6+2CR, Alipur, ",N/A
Haider Hospital Multan,Hospital,N/A,Multan,"6C3X+6VV, Al Rahim Colony, Multan, ",N/A
Dhorkot Hospital,Hospital,N/A,N/A,"84W6+2CC, Unnamed Road, ",N/A
Hospital Aloudaywali,Hospital,N/A,Aloudaywali,"P2HQ+PX4, Aloudaywali, ",N/A
Zia Surgical Hospital,Hospital,+92 68 5562172,Zāhir Pīr,"RG2M+3JJ, Zāhir Pīr, ",N/A
AL SHIFA SURGICAL HOSPITAL BAHAWALPUR,Local medical services,+92 304 7669213,Bahawalpur,"Ahmedpur Rd, near Zonal Office Bahawalpur, state life, Bahawalpur, 63100, ",6370b3143d1a1.site123.me/
Dr. Iram Hospital Liaqat Pur NT,Hospital,+92 68 5795848,Liāqatpur,"WXM4+553, Allama Iqbal Colony Liāqatpur, ",N/A
Al-Shifa Welfare Hospital ,Hospital,N/A,Rai Ali,"RXFQ+3R6 Al-Shifa Welfare Hospital, near Jamia Masjid Bait, Rai Ali, ",N/A
 ,Hospital,+92 334 3554300,Rajanpur District,"Makhdoom Rajan Shah Rd, Rajanpur District, 33500, ",N/A
Minhaj Hospital,Medical clinic,+92 306 3440344,Muzaffargarh,"Old sabzi mandi road, Sheikhupura Mohalla, Muzaffargarh, ",N/A
Naik General Hospital & Maternity Home,Hospital,+92 67 3364417,Vehari,"28QW+P8G, Cotton Colony Vehari, 61100, ",N/A
Ghoury Hospital,Hospital,N/A,Dunyapur,"RP2W+F95, Ward Number 19 Dunyapur, ",N/A
Anas Surgical Hospital,Hospital,+92 300 8958808,Liāqatpur,"Stadium Rd, Liāqatpur, 64000, ",N/A
Sarwar Bibi Free Homoepathic Medical Hospital,Hospital,+92 33362873189,Burewala,"5P63+7C3, Street Number 3, Mujahid Colony Burewala, ",N/A
Faisal medical complex,Hospital,+92 848 550123,Khuzdar,"Hospital Rd, Khuzdar, ",N/A
Government Hospital Naal,Hospital,N/A,Karez,"M5RV+FM2, Karez, ",N/A
Civil Hospital,Hospital,N/A,Panjgur,"X3CW+47F, Panjgur, ",N/A
Ali Hospital,Hospital,+92 332 2380744,Khuzdar,"RJ66+RMM, Khuzdar, ",N/A
Hospital,Hospital,N/A,Panjgur,"X58Q+M97 Cadet college, Panjgur, ",N/A
Wadh Civil Hospital,Hospital,N/A,Wadh,"89VF+M6J, Wad Bazar, Wadh, ",N/A
DHQ Hospital,Hospital,+92 331 2553362,Khuzdar,"RJ66+89F, Hospital Rd, Khuzdar, ",N/A
Hospital,Hospital,N/A,Hajika,"H859+5C, Hajika, ",N/A
Old Hospital Jath,Hospital,+92 316 7875966,Nāg,"928Q+RC, Nāg, ",N/A
Emergency centre Wadh,Hospital,N/A,Wadh,"89VF+M6J, Wad Bazar, Wadh, ",N/A
RHC Hospital Bonistan,Hospital,N/A,Panjgur,"W2GQ+H68, Bonistān, Panjgur, ",N/A
Parwar Hospital,Community health center,N/A,Parwān,"2GFQ+QXJ, Parwān, ",N/A
Javed Medical Complex,Hospital,N/A,Panjgur,"X4P4+P6Q, Unnamed Road, Panjgur, ",N/A
Civil Hospital Ornach,Hospital,N/A,Ornach,"X4G8+QJF, Ornach, ",N/A
Medical Emergency Response Center Baghbana (Khuzdar),Medical Center,+92 333 0125842,Khuzdar,"XGFC+8F6, N-25, Khuzdar, ",erc1122.com.pk/
Workers Hospital & School,Hospital,N/A,Khuzdar,"RHGM+8RP, New Twp Scheme Khuzdar, Khuzdar, ",N/A
Hurmage hospital,Hospital,N/A,Thatha-KH42/1S,"8G6R+XX6, Thatha-KH42/1S, ",N/A
BUET Health Care Center,Hospital,N/A,Khuzdar,"RJCJ+6RW, University Rd, Khuzdar, 98100, ",N/A
Al Khidmat Hospital Layyah,Hospital,+92 335 6760100,Layyah,"XX9H+4W9, Layyah - Chowk Azam Rd, near Al Khidmat, Layyah, ",alkhidmat.com/
Zaib general hospital Tulamba road mian Channu,Hospital,N/A,Mian Channu,"30.451812,72.353859, ",N/A
Zia Azeem hospital,Hospital,+92 333 6573327,Darya Khan,"Q494+P93، kullur kot road, Darya Khan, ",N/A
pakistan national hospital,Hospital,N/A,N/A," national hospital, ",N/A
Kohawar Hospital Mankera,Hospital,+92 333 4812283,Mankera,"Noor Khan Wala Road, near Asghar Chowk, Shafi Colony Mankera, 30060, ",www.facebook.com/kohawarhospital
Shafiq hashtim hospital,Hospital,N/A,Kamalia,"PJCV+VVF, Kamalia, ",N/A
Hospital,Hospital,N/A,Chak 672/13 GB,"PCFJ+23H, Chak 672/13 GB, ",N/A
Amanat Ali Eye & Gynae Hospital,Hospital,+92 46 3514305,Gojra,"5M2H+C68, Gojra, 36120, ",N/A
Alkarim memorial hospital,Hospital,+92 300 3565607,Multan,"9G4Q+HQR, Multan, ",N/A
Sarkari hospital,Government hospital,N/A,Bhakkar,"J4H3+46M, Bhakkar, ",N/A
Babar Hospital,Hospital,N/A,Multan,"Mehmood Kot، Gulzar Care Pharmacy, Ansari Super Store, Bosan Rd, Multan, ",N/A
Javed Hospital,Hospital,N/A,Chowk Munda,"H6JV+C97, Chowk Munda, ",N/A
City centre Madicl Hospital D IKhan,Hospital,N/A,Dera Ismail Khan,"VW72+2QC City centre Madicl Hospital, Dera Ismail Khan, ",N/A
Farooq Hospital,Hospital,+92 300 7871262,Naya Lahore,"Naya Lahore, ",N/A
